timestamp,turbidity,tds,ph,temperature,quality,diseases
2025-10-17 00:19:08,100.0,6.52,5.98,31.62,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:19:13,100.0,4.89,5.98,31.56,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:19:19,100.0,4.89,5.98,31.5,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:19:24,100.0,4.89,5.98,31.44,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:19:30,100.0,4.89,5.98,31.37,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:19:36,100.0,4.89,5.96,31.31,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:19:41,61.18,4.89,5.98,31.25,MEDIUM RISK ⚠️,"Diarrhea, Dysentery, Skin Irritation"
2025-10-17 00:19:47,68.24,4.89,5.98,31.19,MEDIUM RISK ⚠️,"Diarrhea, Dysentery, Skin Irritation"
2025-10-17 00:19:52,67.7,4.89,5.98,31.12,MEDIUM RISK ⚠️,"Diarrhea, Dysentery, Skin Irritation"
2025-10-17 00:19:58,0.0,6.52,6.04,31.12,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:03,0.0,6.52,6.01,31.06,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:09,0.0,6.52,6.01,31.19,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:14,0.0,8.15,6.01,31.87,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:20,0.0,6.52,6.01,32.25,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:25,0.0,6.52,6.01,32.19,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:31,0.0,6.52,6.04,32.13,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:37,0.0,6.52,6.01,32.0,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:42,0.0,6.52,6.01,31.94,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:57,0.0,6.52,6.01,31.81,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:20:57,0.0,6.52,6.01,31.69,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:00,0.0,6.52,6.01,31.62,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:06,0.0,6.52,6.01,31.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:12,0.0,6.52,6.01,31.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:19,0.0,6.52,6.01,31.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:25,0.0,6.52,6.01,31.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:29,6.404470501740055,458.4645518783388,6.826605033643278,26.950110119713127,LOW RISK,None
2025-10-17 00:21:30,6.305329514130776,438.79729945910185,6.827436117809856,25.7091766170049,LOW RISK,None
2025-10-17 00:21:30,14.902049448130331,788.8159430292014,5.359019261663616,32.8065137380375,HIGH RISK 🚨,"Kidney Stones, Skin Irritation"
2025-10-17 00:21:30,14.516888836644156,787.1205010381368,5.664445902058262,32.108424116357995,MEDIUM RISK ⚠️,"Kidney Stones, Skin Irritation"
2025-10-17 00:21:30,1.7742861319472443,150.75400381014651,7.2361454405970935,21.8350763732856,LOW RISK,None
2025-10-17 00:21:30,1.9332024845428355,199.39791981286885,7.016415458212777,23.860083325543126,LOW RISK,None
2025-10-17 00:21:30,14.772774236713493,783.0134003350573,5.5749078154516845,32.97383814650298,MEDIUM RISK ⚠️,"Kidney Stones, Skin Irritation"
2025-10-17 00:21:30,15.350275842389049,784.4153836176827,5.481379921553548,31.303406815793824,HIGH RISK 🚨,"Kidney Stones, Skin Irritation"
2025-10-17 00:21:30,6.153426249949204,458.50565213082245,6.705464781108117,25.964545382899075,LOW RISK,None
2025-10-17 00:21:31,1.8492264830921128,191.2675046931305,6.96543522227799,24.521790556682333,LOW RISK,None
2025-10-17 00:21:31,1.3964550898489532,163.98012625848054,7.056388520073767,22.983541508461986,LOW RISK,None
2025-10-17 00:21:31,0.0,6.52,6.01,31.25,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:31,15.441305063391464,812.4808554374899,5.31068456060546,31.919443533750368,HIGH RISK 🚨,"Kidney Stones, Skin Irritation"
2025-10-17 00:21:31,1.3699650943690371,163.47344263720763,7.12220264471411,22.09630314689901,LOW RISK,None
2025-10-17 00:21:31,6.494801440559042,440.3229874514129,6.6104269824693676,26.083245069640423,LOW RISK,None
2025-10-17 00:21:31,6.349322897874011,433.4827345440518,6.6801548916549525,25.02375463848055,LOW RISK,None
2025-10-17 00:21:31,14.83375198407669,799.123865577779,5.532394546833811,31.630907846231324,HIGH RISK 🚨,"Kidney Stones, Skin Irritation"
2025-10-17 00:21:32,1.7588492980913208,159.53098170549129,7.304132811591248,21.802325367017442,LOW RISK,None
2025-10-17 00:21:32,2.2274903842412845,193.17897940794208,6.999636466851366,23.31835436319217,LOW RISK,None
2025-10-17 00:21:32,1.5725487850396251,198.78429147010695,6.921264927856602,24.11440160315063,LOW RISK,None
2025-10-17 00:21:37,0.0,6.52,6.01,31.19,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:43,0.0,6.52,5.98,31.19,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:49,0.0,6.52,6.01,31.12,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:21:55,0.0,6.52,5.98,31.06,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:00,0.0,6.52,5.98,31.06,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:06,0.0,6.52,6.01,31.0,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:12,0.0,6.52,5.98,30.94,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:18,0.0,6.52,6.01,30.87,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:24,0.0,6.52,6.01,30.87,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:29,0.0,6.52,6.01,30.81,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:35,0.0,6.52,6.01,30.81,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:41,0.0,6.52,6.01,30.81,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:46,0.0,6.52,6.01,30.75,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:52,0.0,6.52,6.01,30.75,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:22:58,0.0,6.52,5.98,30.69,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:03,0.0,6.52,6.01,30.69,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:09,0.0,8.15,6.01,30.62,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:15,0.0,6.52,6.01,30.69,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:21,0.0,6.52,6.01,30.62,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:27,0.0,6.52,6.01,30.62,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:33,0.0,6.52,6.01,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:38,0.0,6.52,6.01,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:44,0.0,6.52,6.01,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:50,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:23:55,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:01,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:06,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:12,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:18,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:24,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:30,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:37,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:42,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:48,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:53,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:24:59,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:04,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:10,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:15,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:21,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:26,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:32,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:38,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:44,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:49,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:25:55,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:00,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:07,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:12,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:18,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:23,0.0,6.52,5.98,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:30,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:35,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:41,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:47,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:53,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:26:58,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:04,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:10,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:16,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:21,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:28,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:34,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:41,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:46,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:51,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:27:57,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:02,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:13,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:15,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:19,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:26,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:31,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:38,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:44,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:49,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:28:55,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:00,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:06,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:12,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:18,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:23,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:29,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:34,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:40,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:45,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:52,0.0,8.15,5.98,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:29:58,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:03,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:09,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:20,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:23,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:27,100.0,6.52,6.01,30.31,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:30:33,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:38,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:44,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:50,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:30:56,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:02,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:08,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:14,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:20,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:26,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:31,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:41,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:44,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:50,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:31:56,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:02,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:07,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:13,0.0,8.15,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:19,0.0,8.15,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:24,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:30,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:37,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:42,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:48,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:53,0.0,6.52,5.98,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:32:59,0.0,6.52,5.98,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:05,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:11,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:22,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:23,0.0,8.15,5.98,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:28,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:33,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:39,0.0,6.52,6.04,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:44,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:51,0.0,8.15,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:33:56,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:02,0.0,6.52,6.01,30.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:08,0.0,8.15,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:13,0.0,6.52,5.98,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:19,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:26,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:31,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:37,0.0,8.15,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:43,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:48,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:34:55,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:02,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:07,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:13,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:18,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:24,0.0,6.52,5.98,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:31,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:36,0.0,8.15,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:42,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:47,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:53,0.0,6.52,6.01,30.37,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:35:59,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:05,0.0,8.15,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:19,0.0,6.52,5.98,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:19,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:21,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:36,0.0,6.52,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:36,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:38,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:44,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:51,0.0,8.15,6.01,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:36:56,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:10,0.0,8.15,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:10,0.0,6.52,6.04,30.44,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:13,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:18,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:24,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:29,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:35,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:40,0.0,8.15,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:46,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:53,0.0,6.52,6.01,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:37:59,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:06,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:11,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:17,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:22,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:28,0.0,8.15,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:34,0.0,6.52,5.98,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:40,0.0,8.15,5.98,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:46,0.0,6.52,5.98,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:52,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:38:58,0.0,8.15,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:03,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:11,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:16,0.0,8.15,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:22,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:27,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:33,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:39,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:44,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:50,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:39:55,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:40:02,0.0,6.52,5.98,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:40:08,0.0,6.52,6.01,30.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:40:13,0.0,6.52,5.98,30.56,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:40:19,0.0,6.52,5.98,30.5,MEDIUM RISK ⚠️,Skin Irritation
